GeneName,WT_EtOH_1,WT_EtOH_2,WT_EtOH_3,WT_Dex_1,WT_Dex_2,WT_Dex_3,Brg1KD_EtOH_1,Brg1KD_EtOH_2,Brg1KD_EtOH_3,Brg1KD_Dex_1,Brg1KD_Dex_2,Brg1KD_Dex_3
5S_rRNA,3.4,3.4,3.5,3.1,3.9,4.5,2.9,2.3,2.5,3.6,3.7,3.0
7SK,2.5,1.6,0.8,1.8,1.7,2.6,2.6,1.6,3.0,0.6,2.5,1.6
A1BG,7.0,7.2,7.5,6.8,7.5,7.3,6.8,6.8,6.5,6.9,7.0,6.5
A1BG-AS1,7.3,7.3,6.9,7.3,6.8,6.7,7.0,7.1,7.1,6.9,7.0,7.1
A1CF,1.5,3.0,2.5,3.7,3.3,4.1,2.7,2.3,3.0,1.6,2.1,2.7
A2M,0.5,2.8,1.2,2.9,0.1,0.7,2.7,0.4,0.4,2.1,1.3,2.8
A2M-AS1,2.6,3.2,2.9,3.6,3.1,3.3,3.8,3.5,3.4,2.1,2.7,1.9
A2ML1,5.5,5.1,5.4,5.1,5.6,5.8,4.9,5.1,5.3,5.4,5.8,5.5
A2ML1-AS1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,1.4,-0.2,0.9,-0.5
A2ML1-AS2,0.1,1.3,0.0,-0.1,0.1,0.0,0.3,0.4,2.1,-0.2,-0.1,0.8
A2MP1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
A3GALT2,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,0.5
A4GALT,9.2,9.0,9.0,8.5,8.5,8.3,8.0,7.8,7.9,7.7,7.6,7.9
A4GNT,0.1,-0.3,0.9,-0.1,0.1,0.0,0.3,1.3,0.4,-0.2,-0.1,-0.5
AA06,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AAAS,10.8,10.7,10.7,10.7,10.5,10.6,11.0,10.7,10.5,10.5,10.4,10.6
AACS,9.7,9.4,9.7,10.0,10.0,10.0,10.0,9.9,9.9,10.1,10.2,10.0
AACSP1,3.3,2.7,2.8,1.9,2.9,3.7,3.7,1.5,2.5,3.0,1.7,2.3
AADAC,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,0.9,-0.5
AADACL2,1.0,1.1,2.0,1.3,1.3,1.6,1.4,1.8,1.7,1.7,1.2,0.9
AADACL2-AS1,0.1,2.0,0.0,-0.1,0.1,0.1,0.4,1.5,0.4,-0.2,1.8,1.8
AADACL3,0.1,1.9,1.9,1.8,1.1,1.7,1.9,1.9,2.4,0.8,1.5,1.9
AADACL4,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
AADACP1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,0.8,-0.1,-0.5
AADAT,2.9,2.6,3.7,3.0,3.6,3.1,2.3,3.1,3.5,3.3,3.5,3.8
AAED1,8.9,8.7,8.8,8.6,8.7,8.7,9.0,9.1,9.2,9.1,9.1,9.0
AAGAB,12.2,12.3,12.3,12.0,12.4,12.4,12.1,12.4,12.2,12.2,12.3,12.3
AAK1,9.1,9.2,9.0,9.0,8.8,8.7,9.4,9.5,9.6,9.2,9.4,9.7
AAMDC,9.1,9.0,9.2,8.9,9.2,9.2,8.3,8.6,8.4,8.3,8.2,8.3
AAMP,12.3,12.0,12.0,12.0,12.5,12.5,11.8,12.0,11.9,12.0,11.9,12.0
AANAT,2.4,2.8,3.5,1.6,3.0,2.1,1.7,1.4,2.6,1.0,0.8,1.8
AAR2,10.6,10.6,10.6,10.6,10.6,10.4,10.5,10.4,10.3,10.4,10.5,10.4
AARD,2.9,3.5,4.6,3.0,3.6,2.8,4.4,3.0,2.1,3.0,2.3,3.6
AARS,13.7,13.7,13.7,13.6,13.8,13.8,14.6,14.5,14.5,14.6,14.6,14.6
AARS2,10.1,10.0,9.9,10.0,10.2,10.2,10.1,10.0,10.1,10.0,9.9,10.1
AARSD1,9.7,9.6,9.7,9.7,9.9,9.9,9.9,9.8,9.8,9.7,9.7,9.8
AARSP1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
